business_name,category,phone,address,zip,stars,review_count,website_url,website_status,new_website_url,google_maps_url,last_verified,notes,possible_owner_name,owner_evidence,place_id,call_status,last_contact_date,contact_notes
Great cut,barber shop / Hair Salon,(303) 366-2736,"15343 E 6th Ave, Aurora, CO 80011, USA",80011,4.8,339,,none,,https://maps.google.com/?cid=1507421074839982170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,Salon,web yelp.com: Updated June; web salons.greatclips.com (owner mention): Salon,ChIJ5XIOpgRjbIcRWlDGHHtv6xQ,not_called,,
Always There Irrigation and Topdressing,sprinkler repair / General Contractor,(720) 635-5542,"6708 W Clifton Pl, Littleton, CO 80128, USA",80128,4.9,183,,none,,https://maps.google.com/?cid=5975551034653237633&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,,ChIJVVWpInl-a4cRgWG5lQFs7VI,not_called,,
Wally's Barber Shop,barber shop / Barber shop,(720) 979-6348,"5066 S Wadsworth Blvd, Littleton, CO 80123, USA",80123,4.8,183,,none,,https://maps.google.com/?cid=9178898742112637241&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 5x): Wally,ChIJTfQdHHV_a4cROVHnKMb_YX8,not_called,,
Auntie Jen's Pet Grooming,pet grooming / Pet Care,(720) 885-3744,"2020 Youngfield St, Lakewood, CO 80215, USA",80215,5,150,,none,,https://maps.google.com/?cid=9345648532641204484&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 10x): Jen,ChIJwcGKh_mHa4cRBMm6N9NpsoE,not_called,,
Dream Team Pet Grooming LLC,pet grooming / Pet Care,(303) 726-1492,"6433 W Alameda Ave, Lakewood, CO 80226, USA",80226,4.8,119,,none,,https://maps.google.com/?cid=15852928495979434715&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,,ChIJI3kIvdyAa4cR25KFhHnqANw,not_called,,
VIP BEAUTY SALON & BARBER SHOP,barber shop / Beauty Salon,(720) 695-0086,"673 Peoria St Unit 04 A Aurora Plaza, Aurora, CO 80011, USA",80011,5,111,,none,,https://maps.google.com/?cid=11983067556893853820&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 5x): Jonathan,ChIJNf21q099bIcRfIgqOHRoTKY,not_called,,
BRIGHT NAILS & SPA,nail salon / Nail Salon,(720) 390-7998,"11614 W Belleview Ave, Littleton, CO 80127, USA",80127,4.9,104,,none,,https://maps.google.com/?cid=10664862884116936711&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 2x): Lily,ChIJGXwg3Ip5a4cRB7gJykk0AZQ,not_called,,
Barney's Barber Shop,barber shop / Barber shop,(303) 985-1981,"1978 S Garrison St, Lakewood, CO 80227, USA",80227,4.8,101,,none,,https://maps.google.com/?cid=2036042483584251784&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 4x): Barney,ChIJDb6_ZaCBa4cRiLek9dl5QRw,not_called,,
Super Pups,pet grooming / Pet Care,(720) 628-9725,"305 S Kipling St unit F, Lakewood, CO 80226, USA",80226,4.9,87,,none,,https://maps.google.com/?cid=8082380137452837917&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,Joel,google reviews (mentioned 6x): Joel; web nextdoor.com (owner mention): Joel; web yelp.com (owner mention): Joel,ChIJMwKhSySBa4cRHZyMqOlhKnA,not_called,,
Wesco Grooming,pet grooming / Pet Care,(303) 455-3445,"5225 W 25th Ave, Edgewater, CO 80214, USA",80214,4.8,85,,none,,https://maps.google.com/?cid=13881689418498087404&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,Jim,google reviews (owner mention): Jim; web yelp.com (owner mention): Jim,ChIJ34jIFWuHa4cR7JngT_qqpcA,not_called,,
